Tube number	Locus	Gene	Gene function 
111	AT5G58560	FOLK	phosphatidate cytidylyltransferase family protein
112	AT5G40610	GPDHP	glycerol-3-phosphate dehydrogenase (NAD+) / GPDH
113	AT5G19200	TSC10B	short-chain dehydrogenase/reductase (SDR) family protein
114	AT1G11870	SRS	 serine-tRNA ligase
115	AT5G27200	ACP5	acyl carrier
116	AT5G08410	FTRA2	 catalytic/ ferredoxin reductase/ ferredoxin:thioredoxin reductase/ lipoate synthase
117	AT5G51310	 oxidoreductase, putative	binding / catalytic/ oxidoreductase
119	AT4G15130	CCT2	NA
120	AT2G34590	E1beta2	Transketolase family protein
121	AT3G02620	S-ACP-DES4	Plant stearoyl-acyl-carrier-protein desaturase family protein
123	AT3G11670	DGD1	NA
126	AT3G23790	AAE16	AMP-binding protein, putative
127	AT4G15130	CCT2	catalytic/ choline-phosphate cytidylyltransferase/ nucleotidyltransferase
128	AT1G30120	PDH-E1 BETA	NA
131	AT1G54630	ACP3	NA
132	AT3G02610	S-ACP-DES2	stearoyl-acyl-carrier-protein desaturase family protein
133	AT3G18000	NMT1	methyltransferase/ phosphoethanolamine N-methyltransferase
134	AT5G15530	BCCP2	NA
136	AT4G27030	FAD4	NA
137	AT4G16155	LPD2	dihydrolipoyl dehydrogenases
139	AT3G13930	SAHH2	dihydrolipoamide S-acetyltransferase, putative
142	AT4G27030 	FAD4	NA
143	AT2G38040	CAC3	NA
144	AT1G13210	ACA.l	"phospholipid translocating ATPase;  coupled to transmembrane movement of ions"
146	AT3G07690	G3Pdh-2	"6-phosphogluconate dehydrogenase family protein; NAD or NADH binding / binding / catalytic/ coenzyme binding / glycerol-3-phosphate dehydrogenase (NAD+)/ oxidoreductase/ oxidoreductase, acting on CH-OH group of donors / oxidoreductase, acting on the CH-OH group of donors, NAD or NADP as acceptor"
147	AT3G05630	PDLZ2	NA
148	AT3G47600 	MYB94	DNA binding / transcription factor
149	AT3G18850	LPAT5	acyltransferase
150	AT3G48780	SPT1	NA
153	AT3G01140	MYB106	DNA binding / transcription factor
154	AT2G46210	SLD2	"delta-8 sphingolipid desaturase; putative"
155	AT3G55310	Ketoacyl-ACP Reductase	"NAD(P)-binding Rossmann-fold superfamily protein; gibberellin 20-oxidase-related"
156	AT4G14070	AAE15	long-chain-fatty-acid-[acyl-carrier-protein] ligase
157	AT1G73600	NMT3	"S-adenosyl-L-methionine-dependent methyltransferases superfamily protein; methyltransferase/ phosphoethanolamine N-methyltransferase"
159	AT5G58560	FOLK	phosphatidate cytidylyltransferase family protein
160	AT3G61250	MYB17	"DNA binding / transcription factor; Member of the R2R3 factor gene family"
161	AT3G55290	NAD(P)-binding protein	NAD(P)-binding Rossmann-fold superfamily protein
162	AT1G77590	LACS9	long-chain-fatty-acid-CoA ligase
163	AT2G22230	3-hydroxyacyl-ACP dehydratase	"Thioesterase superfamily protein; beta-hydroxyacyl-ACP dehydratase, putative"
165	AT1G74650	MYB31	NA
166	AT5G06090	GPAT7	NA
167	AT4G29350	PFN2	NA
